,text
1622,I really like it. I got one for myself and my wife. Order one for my oldest son to. Will be ordering another for my daughter soon. As far as the seller fantastic got it on time and as described.
1623,"Phone came quickly and pleasantly surprised us. It looked and worked almost like new. Battery level is 97 %. No scratches, everything works. Only complaint is the charging cable is only 6 inches long. Fortunately we had a longer one already."
1624,So far it’s great I’ve only had the phone for a few days not even a week yet looks brand new Battery is questionable I charged it yesterday around 1 and I’m charging it again it could be me but I love it
1625,i bought this phone for my dad and as far as i know it works and he loves it.
1626,"I got pretty scared when I saw the reviews and the pictures that were being left by some buyers but decided to purchase anyway since it has a 90 day return policy. It is awesome! It is in amazing condition, seriously looks brand new, the battery health is 89%and it is so quick an beautiful! I upgraded from a 6s to this one and I am so happy. Can not recommend more, I feel lucky to have found this deal."
1627,"I was a little nervous to buy. Just received the phone and I am very happy! If I am going to be extremely picky, the only tell that it was refurbished was it was a little dirty around the camera. But there are no scratches the screen seems responsive so far. It even came with a screen protector. I will update after the holidays when I contact att to let everyone know if it’s black listed or reported stolen lol."
1628,"Upon opening the package, the phone appeared new. No scratches, or dings. However upon booting up and testing, BAD EAR SPEAKER. At half volume you couldn’t hear the person on the other side of the phone. At full volume it was completely muffled, Still barely able to hear. It also seemed rather slow and clunky, similar to my 4 year old iPhone 8. A replacement has been ordered."
1629,So far I’m using the phone nothing to complain aboutThe phone is doing pretty well and came earlier than expected
1630,Perfect
1631,The phone got here before its expected time. Very nice product
1632,Equipo en perfectas condiciones y funcionamiento
1633,"This is a great phone from a great program. I was a bit hesitant to buy a used phone but the Amazon Renew 90-day return made me take the chance.  The phone was in mint condition, looks and works like a brand new one and 9-months later, there have been NO problems. Would buy my next phone from this amazing Amazon program.The seller, BUYSPRY also delivered it days ahead of schedule so I would buy from them again."
1634,"I read some of the reviews and I was concerned about the phone not working. It works just fine. The camera quality is ok to my standards because I upgraded the IOS to 14 , you can put the camera in 4K and play with the lighting. No marks on the screen, a little light Line on the back of the phone but you don’t even notice and the cute phone case makes a big difference!! Overall I’m satisfied."
1635,"My phone came from D'Tech Mobile. It looks like a brand new phone, but the battery health was at 97%, so it's not completely renewed. Aside from that, the phone I received is great. No scratches or scuffs, and it even came with a screen protector already applied. The charger I was sent isn't an original Apple product, but that's fine considering I already have several of those around the house. I was able to activate it through Verizon without any trouble."
1636,"I got this phone as an upgrade for my 3 year old 6s after reading all of the reviews. I was the slightest bit skeptical at first, but once I ordered it, it arrived a week earlier than expected! The only damage I could see was some minor dents and chips along some of the aluminum corners, but other than that this phone looks brand new. It even came with a new battery!I would definitely recommend buying this product. It’s worth every penny.PS: this phone doesn’t come with headphones, but they already state that in the description."
1637,"10/10 recommend using this company the next time you’re looking for a new phone! Received the phone today and absolutely flawless!! Looks brand spanking new, great battery life! Definitely a great upgrade from my iPhone 7 to the iPhone XR! Also I must add how quickly the phone came to me, I ordered it Wednesday afternoon and got it Saturday morning!!! Thank you very much, I absolutely love my new phone!"
1638,"Don’t buy this phone ,I ordered it Wednesday September 7 and it was supposed to arrive today which is Saturday but it arrived the day after I ordered it and when I got it everything looked brand new but the phone didn’t turn on so I thought it needed to be charged so plugged it in and after a few hours I checked and it still had a red bar so I left it overnight and it was still dead it is now Saturday September 10th and this phone doesn’t work . I got scammed out of my money and I very upset ."
1639,"I like this phone so much it’s so beautiful no blemishes, the only thing that makes me a lil sad is the 89% battery life other than that I have 0 complaints to be made, 9/10 would recommend"
1640,                    The media could not be loaded.                 Phone is perfect look like new and it also come with a screen protector installed which is great.
1641,"The screen has a very visible detail, I am sad with the purchase. Wait longer."
1642,"Bought one for me and my fiancé. She got a white 1 I got a black 1. Truly impressed on how quickly they arrived. Literally 2 days after I ordered them. Both in like new conditions, no scratches or any type of wear. Battery life is a lot stronger than our iPhone 8’s, face recognition is amazing, and the camera is fantastic. Truly happy with the purchase."
1643,"I was always rather cautious about buying amazon renewed products because of the bad reviews, but after purchasing this renewed phone, I can safely say that I am very glad that I went with this phone! Iphone came in a non Apple box with just a standard cord and charger, but was practically in band new condition! The only fault was rather small chip on the top edge of the phone, hardly noticeable even without the case. The phone was fully unlocked as advertised so transferring my data and SIM card was absolutely no trouble whatsoever. I will definitely be interested in buying more renewed Apple products off amazon after this experience. 5/5!"
1644,"I would like to change the device, please confirm if I am able to return the device to the store in person, I live in Newark NJ, it seems that you have physical stores in New York am I able to go there. Regards.."
1645,"Maybe it’s not really captured in the pic but it’s scratchy on the back and there’s like a little yarn/string that looks like the final touching process hasn’t finished yet. But so far the camera, music, touch screen works."
1646,I was hesitant like everyone else before buying but when I received the phone I was very happy with it. After using it for two weeks I can confirm it’s definitely worth the money. The phone came in with 97% battery life and no damage at all other than a little wear and tear on the side buttons. It came nicely packaged and had a screen protector already on it!
1647,Everything was just as started in listing. Looks and works like a new phone. No complaints.
1648,"We just received this iPhone Xr yesterday and set it up.  It was easy and set up flawlessly in about an hour or two. The phone looks like it has never been used, and Amazon gave me $40. for my iPhone 6Plus.  They paid postage both ways and I am excited to be able to upgrade at such a reasonably low cost.  Time will tell if the battery is OK per my 4-star rating.."
1649,"I was a little nervous to buy this product just because anything not “new” is never promised to be worth the price. If I had not known myself that this was refurbished I would have thought it was new. Everything works perfectly and though it didn’t come with an apple charger, it did come with a charger and wall plug that works fine as well as a case and screen protector. Pleasantly surprised with this purchase"
1650,"This phone came in great condition just one small scratch which wasn’t a problem . Screen quality and battery life was 100%. It didn’t come with factory charger or headphones but it did come with a nice, protective phone case. I highly recommend !"
1651,"the iPhone came with defects but we only found out too late.We bought the iphone in July and we recently realized the mic is not working while the phone is on speaker mode. we took the iphone to Apple store and the store said it is a major defect and the fix will cost $399. additionally, the store also said the battery is in very poor condition and need replacement.We contacted the seller and was told we missed the warranty deadline and there is nothing to be done.It is our fault not to keep an eye on the deadline but I think the iphone we purchased from the seller was defective to start with.tips for future buyers: do take your iphone to a store for a diagnostic check before the warranty deadline."
1652,This product is amazing the face id 8s wonderful and I am upgrading from an iphone 7 to this iphone xr and it is such a great upgrade I love how big the screen is and I'm glad I upgradedMine even came with 80% battery which was awesome also mine came with a clear case which is super protective overall I am very pleased with my purchase and I'm glad I bought it
1653,Great product and yes... it’s fully unlocked. Decided to upgrade and take a chance on getting this upgrade from my 6S. Had my doubts but got a great product with very little cosmetic scratches. It’s was easy to switch over and came with easy to use instructions 🙌🏾
1654,"I really like this new phone! I had no idea how slow my old phone was until I upgraded to the Iphone XR. It fits well in my hand and the screen is bigger. I like the face recognition, my fingerprint ID did not work well on my old phone because I work with my hands and my fingerprint was never the same each day."
1655,everything is great and even came with a screen protector already on. but my top speaker is very messed up. The sound is extremely muffled and bubbly. I have tried various was to clean it but no luck.
1656,"Phone arrived early, nicely packed, and is what my grandson wanted. The phone looks really good, about perfect I would say. The battery is very strong and even was charged up. We tested it out and it appeared to work just fine. It is a birthday present so he doesn't get it until then. If there are any problems  we will know for sure then. I would buy from this seller again."
1657,"Recvd phone in just a few days, looked in excellent condition,  added T-mobile service and use our home wifi when needed. No problems as of yet, only happy 😊.  I have to admit I was worried after reading some of the negative ratings..goes to show that sometimes the good does trump the negative.  Thank you for the positive experience!"
1658,"I absolutely LOVE this phone! It came in great condition and works efficiently. It came with everything it said it would (the charger and key). My phone didn’t have any scratches or cracks, I love the coral color so much. I’m so glad I took a risk and purchased it! My provider is straight talk so if you use straight talk or the other providers they use and want this phone I would definitely recommend it 🧡"
1659,My son loved it.
1660,This is a great median for those who don’t want to spend a fortune getting the newest iphone or be stuck with old hardware that doesn’t have the common features that newer phones have.Had mine for about 6 months no issues other than it can be hard to hear out of its main call speaker. I usually use head phones or talk on speaker anyway🤷🏻‍♂️
1661,"OMG my BEST buy on Amazon of ALL time!!!! It was beautiful, immaculate! Only wish they had one in white for Verizon! But this hands down is perfect, no scratches, smooth setup to Verizon. They hook you up with a free case and a temper glass that was a super surprise to me! And they were high quality accessories. It’s a steal to be honest. Thank you so much to this seller! Xo"
1662,"Nothing not to like, has many features and works well with my IWATCH 6 - independent phone optioned"
1663,"I  bought this phone, even though I knew it would be a task to learn how to use it.  Fortunately, I have had some good help from friends and Apple sources so it has not  been The Impossible Dream.  I am picking up things all of the time.  But if you are in a hurry or don't want to put the time into learning how to use it; forget it.  It will not be worth your time."
1664,"Bought this Phone on January 6 and I was able to get this item within in 3 days. Came with a Charger and Black Charging box which was one of the down sides, the phone came completely clean ready to boot up. Day after there’s no problem with the phone runs completely fine, my only other problems is that I wish the battery would of came at 100% but mine came at 94% which is still great. And there was no damage on the phone besides one light scratch on the top speaker of the phone which isn’t visible to the naked eye. So besides that the phone is working at its full capacity."
1665,"I have total wireless and ordered this phone unlocked and it was not compatible with total wireless. i had to return it and buy the same phone but Verizon instead and now it works! Other than that the phone is great, battery health at 94% (the first one i ordered was 86%) and works fine no damage at all!"
1666,This seller is incredible! Shipped very fast. And the best part is the phone had zero scratches!!! I’ve bought a couple of refurbished phones before and all of them had some sort of dents on them. But not this one. This phone looked totally brand new when I took it out of the box. I highly recommend this seller. I do not think you can find a better purchase if price is your concern
1667,"El teléfono está como nuevo, no tiene un solo raspón, la vrdd estaba muy asustada antes de hacer la compra pero al ver las reseñas del vendedor, me decidí, llegó muy rápido, dos días antes de lo anunciado incluso, todo funciona correctamente, me alegro de haber hecho la compra. Lo único malo pero entendible, la batería está al 88% de su funcionamiento, pero el resto. Súper bien!"
1668,                    The media could not be loaded.                
1669,"I was very unsure about purchasing this but to my surprise it has been worth every penny! No scratches, dents or damage! Looks brand new and works great!"
1670,It’s like a new iPhone and it came with a iPhone box and surprise me.
1671,"Don’t buy iPhone from this seller, terrible iPhone, no many issues related with this iphone"
1672,Just received my phone. I actually ordered it as an early Valentine’s day gift for my bf. It came with a free case which was super helpful since I’m still waiting on a screen protector. So far there’s no damages to the phone at all. I was a little nervous because of some of the bad reviews but since it was $350 I decided to take the chance of it & I’m glad I did. He loves it!
1673,10/10 100% perfect
1674,"Todo bien, completamente liberado, tenía unos desgaste leves en una esquina del marco, la parte de atrás esta bien pasa desapercibido algunas líneas de desgaste, cámara frontal esta muy bien, tiene una seña como q estuviera por dentro algo, no sé si es q así son, pero igual no afecta en nada las fotos salen excelentes en frontal y trasera."
1675,Love the phone. The only thing i don't like is when im talking on the phone it sounds like its under water a little bit but when the call is on speaker ots perfectly fine. That would be my only complaint
1676,"I received the phone early, it came boxed nicely and with a charger and wall mount. Not upset I didn’t receive earphones as I already own Air Pods. A no Scratches no Cracks or Dents! Camera is excellent as expected and phone is beautiful. I ordered it in the color blue 64 gig. Great buy."
1677,"I just recieved my phone yesterday,it looks exactly as it is in the pictures and as described,  there is NO scratch on the phone, it looks just beautiful,  the seller is nice to send a screen protector and a case, it also came with a charger,  ( not Apple original charger)But it should work, i didnt use it, since i got original charger from my previous phone, its definitely worth the price and im happy , i haven't activated yet, but i set it up, and everything went smoothly and as expected,  thank you !!"
1678,Would use this seller again.
1679,"Not a scam! Received the phone a day early. It has 100% battery life and looks brand new. No wear and tear at all. The only thing I didn’t like was the fact that it did not come inside an actual Apple box, and even though the charger is Apple, I received a random off-brand charger block instead of a regular Apple one. Other than that, I love it! Thanks!!"
1680,My daughter loved her phone haven’t put it down since she gotten it.
1681,It’s a beautiful phone worked great no damage just perfect but the only issue was the imei number wasn’t ready for activation. Not sure why but I was able to send it back and get a refund. The company replied back in a timely manner. Great customer service I must add!
1682,"First let me say, it came in right on time. The battery life is already at a 93% for life. I have had this phone for one day. The charger cord sent with it does not charge it. Luckily I had a wireless charger to charge the phone on."
1683,Product was perfect and it came earlier than expected. Was able to switch all of my data from old phone to this one.
1684,Super shock how nice and clean it was only had some tiny scuffs on one corner that I almost missed clean screen battery life was 89% but for what phones stores was trying to sell me an 8 for 600 bucks and the power button didn’t work u can’t go wrong wit this one very happy I finally got this
1685,
1686,"Todo bien, el único detalle es el speaker, ya que no se escucha como debe"
1687,"Phone is in great shape, screen looks new and phone arrived with iOS 14. Phone came with a charger and case as well. No problem moving my info/files from Android (took a few hours though) or installing the nano-SIM (Verizon) which only took a few minutes. Good purchase overall. FedEx took a few extra days to deliver the phone, but that's understandable this time of the year. I recommend requiring a signature at delivery. Worth the wait..."
1688,"I was skeptical after reading some bad reviews, but am very happy with my purchase of this phone. I ordered from the seller MyWit. It doesn’t not come with original packaging (which is fine with me.) It came with the device and a lighting cable. It didn’t come with a charging brick, which seemed odd, but I have several so it didn’t matter to me. Shipping was very fast.It came at 100% battery capacity. The device itself had no signs of use. Looked brand new. No scratches or anything. If you’re on the fence, I would definitely suggest going for it."
1689,"I very much appreciate the business. The quality of the phone is nere perfect. It would have been perfect, if a pair of earbuds were thrown into the box. Lol"
1690,"We purchased these for traveling so we needed them unlocked.Arrived one day early, we tried them in other country and worked.The battery life of one of them was 90%, very cool.The other has battery at 82%, Ii was expecting a little bit more, but not an issue.They came with new glasses to be installed and one of the phones had a new cover to use with it.Very nice vendor, 100% recommended!"
1691,"Good with the phone but the lightning cable is not OEM and it doesn’t work right. It get lose at minimum movement so it’s not extra fe that after long time, the cable was not correctly set and there ‘s no charge. They should invest in a better cable."
1692,Met my expectations
1693,                    The media could not be loaded.                
1694,So i read reviews like everyone else and found that the reviews were good but I was still unsure. I ordered and took a chance. I was surprised at how quickly it got here from New York. I opened the box and found just what it said was there. a phone in bubble wrap and a non apple charger and non apple charging cord. but the phone was all apple. I first turned it on and checked and found that it still had a factory warranty (two months worth). The screen was almost new and the body of the phone had no scratches at all. Would buy again in a heart beat.
1695,I ordered this iPhone XR I was worried it would not come in perfect condition but I decided to order it and guess what that was one of my best purchase I did it came in will condition battery was at 96% screen was in perfect condition camera was good I would recommend it. The seller was Hybrid It
1696,"The product came with a charger.I am using this product for necessity.  Setup was a learning experience.I tested the features like light, sound, camera, and games with no issues.My cell phone provider switched my SIM card from my old iPhone5 to this product with no issues.  I like this product and hope it will last a long time. Review written on day 4 of the product."
1697,"El teléfono me llego unos días después de lo acordado, tardo aproximadamente 3 semanas en llegar a mis manos, compre desde Tucumán, Argentina y para los que tengan dudas como yo lo tuve les aconsejo que compren sin miedo, el teléfono llego en excelente estado ningún detalle a destacar, la batería 97% y llego sin problemas!"
1698,"The battery on the phone died about a month after I received it, which I wasn’t happy about. But I contacted the seller and they immediately offered to either give me a refund or replace the battery for free. I chose to the latter and they replaced the battery and sent it back to me very quickly. I was really pleased with the customer service I got."
1699,
1700,"Works like a new phone  , no complaints here ."
1701,Everything works as it should
1702,Had the iPhone X and it started loosing signal. Would have to turn it off and back on to connect but then would only last for a while. This all happened after a month of the Purchase. Returned the phone and replaced it with the XR. Like it so much better. The size is more like the 8plus but not as heavy. So far so good with it!
1703,"The battery input doesn't have teeth, so it is impossible to charge with a cord. Had to buy a cordless charger to recharge it. The phone works, but it is very inconvenient. Struggled with whether to send it back or not. Decided to keep it and just be inconvenienced."
1704,So far so good phone works great the phones battery is at 93% full battery capacity which personally I think is good  also I got a unlocked iPhone XR red with 128gb  also they had it for a very good price when I bought it and they send me a letter with the phone saying there was lower price than what they had listed but they told me they weren’t going to charge me extra or cancel the order  that why have them a 5 star
1705,Received this phone and was happy to find that it looked brand new. Battery health is at 91% which is well above the promised 80%. Been using with Mint Mobile without issue. Very satisfied.
1706,I orderd from Chibbiestech. This phone is like brand new. There was one little ding on the top and the brim of the camera is a little chipped but nothing noticeable! Had trouble with my sim card but fixed that. Totally unlocked. And everything works great! The battery percentage was 89% but it could be worse.Thanks again
1707,"I returned the first iPhone since it had minor scratches and was able to do this with no issue at all.  However, when I repurchased the replacement phone the price had gone up. Contacted the customer service and they did not honor the original price after this was made to their attention. Overall, I would recommend the phone to another person but the customer service was not satisfying as a buyer."
1708,"The phone works very well, no scratches or faults. The only thing I’d say bad about it was the battery life was low but it was still above 85% so that was okay"
1709,Great buy. It came early. No problems when I set it up. No issues getting it activated ( I have metro pcs). I’ve had it for a few months and still work great. It doesn’t die fast. It charges fine. Updates fine. Overall I’m very satisfied with my purchase. It is worth the money.
1710,"Came scratched and clearly used. If I did not use a screen protector, it would look years old."
1711,"I bought two XR of 64gOne for me and one for my girlfriend, they are both working well and they look flawlessI would recommend to buyBoth of them where unlocked of any service provider or iCloudThey both came with a new screen protector already installed and the charger and the cable (not factory original)"
1712,"After reading all the reviews and pulled the trigger on the coral xr. Phone came with a screen protector already on(thank you from someone with ocd). This phone is basically brand new I couldn't find any scratches dent cracks, nothing. Fired it up signed in and updated. Tested everything including the cams.  This phone is flawless. Definitely as advertised and better. Super happy with seller and prouduct"
1713,Lol I’m using it to write this review I love it
1714,Found no issues. Took it to Jamaica and it works great
1715,87% Battery. Love it.
1716,The product met every expectation I know my granddaughter loves it!
1717,I really do love the phone! I haven’t had any issues with it so far! The only thing that is kind of “messed” up would be if you turn the volume super loud it kind of gets staticky.
1718,"I purchased 2 of these before I read the reviews and after reading the reviews it made me nervous.  Got the phones today and both of them are in GREAT SHAPE!!  Looks brand new, battery maximum capacity is 98% of both phones.  No dings or scratches.  Plugged my sim card in and it picked it up automatically!!!  This was a GREAT BUY!!!  So far...."
1719,"Everything is ok, great product in optimal conditions!! No scratches. Working good!!"
1720,"Although it's definitely not NEW, the phone I received is a great phone considering how cheap it was.  The only issues I've found are illustrated in the pictures:  a few scratches around the camera lens that I don't really care about and a replacement for the back cover.  Neither of these issues was a deal breaker for me.93% battery life!  Super fast processing with no glitches. Took some photos to test it out (since I was nervous about the scratches around the lens) and they turned out beautifully!  I'm thrilled."
1721,Exactly as described! Looks and works like brand new! Would definitely recommend!
1722,The Iphone has good condition and I received the package in less time that I expeted
1723,I had an iPhone XR previously but it had shattered. I was a bit iffy about buying a phone from Amazon but it’s just the same! I’m using it to write this review actually. But it’s the same. Not a scam. Good price.
1724,"                    The media could not be loaded.                 After many YouTube videos n reviews I finally bout the Phone I got the XR in white. I was a bit reluctant cause all the comments said they didn’t get headphones n I was scared that the battery health would be below 80% but battery health is at 100%, my phone came with the earphones n a charger. No cracks or scratches. I ordered it 6/27/20 n got it 6/30/20, my seller was Gryphon Commerce. This is definitely a big upgrade from my iPhone 6."
1725,"Phone came in a very good condition with some cosmetic issues on the screen nothing major just regular use , battery and performance are overall perfect, fully unlocked I just inserted the new SIM and it was working just perfect"
1726,"I was scared to buy a phone on here but I read the reviews and so I decided to buy it, omg I’m so happy!! The life on the phone is %100 looks brand new I’ve had it for 2 weeks and I haven’t had any problems. I’m so happy. It came with a charger but no ear buds but that’s ok I don’t care for them anyways. I’m very happy."
1727,We got this iphone to replace an old one. The condition was very good(a few scratches. It was able to start up and able to access our T-mobile sim card. We started working on the phone as it was fine. The only issue is that the battery is not new but the charge is reasonable (we always bring a spare power brick with us)The vaue is ok as I would buy it again but knowing I may get a not good one. It is a gamble.
1728,This was a awesome deal. The phone looked great no scratches. The battery don’t last as long as I’m used to but I’m also coming from an android phone to an iPhone so I really don’t have anything to compare it to. It didn’t come in original packaging or come with the original charger other then that the phone is great
1729,"Works perfect, couldn’t ask for more"
1730,Like my yellow phone. Dislike the battery life it has.  Doesn’t stay charged long and takes a long time to charge.
1731,Pantalla con una mancha blanca y se nota q era una pantalla cambiada porque la parte inferior izquierda venía despegada y al tacto se movía. Todo lo demás estaba como nuevo aunque la batería venía con 88% de vida útil. Tuve que devolver este pedido quedé muy insatisfecho
1732,Immaculate condition!
1733,I was honestly very happy with what came in. It looked very close to factory new and I was not expecting the device to be in this condition. Am completely satisfied 10/10. Delivery also came 1 day ahead of schedule!! I didn’t even know it came with a screen protector or charger as well! Even the sim removal tool
1734,"I received the phone within a timely manner and it is just like new! I couldn't wait until it arrived. It came in safe packaging, with no scratches on screen or camera, no issues with any of the tech, everything is working perfectly!! The battery is amazing and so much better compared to my old iPhone 7. I have been using this new phone for over a month now and I am still incredibly happy with my purchase and am surprised at great condition it is for being renewed. I would recommend anyone to buy a renewed/refurbished phone especially from Amazon. Hope this helps anyone who needs it :)"
1735,"So far so good, the phone came in good condition, but the phone was turned was on and the box was a little open when I received it. The packaging on the outside was sealed so the phone should've been okay regardless. So far I've had no issues with the phone, it came with a charger, no headphones though! which is perfectly fine (I have my own regardless) I think it just random if you get all the products or not. But either way you are paying for the phone and it's a great price anyways, comes with what you need so take a chance it may end in an amazing purchase!Will update as time goes on as I've only recently received it!"
1736,"I was a little nervous ordering a 'Renewed' phone, but my experience with this product has been great. I received the item two days early and item look, just about new. I am pretty perceptive and noticed just a few shallow scratches on the back and nick on the corner. Honestly, they're not noticeable and I probably would easily do just as much damage myself within the first day or two. I'm completely satisfied with this product."
1737,I have had a Moto for 5 years and it broke. During the time I had an iPhone and brought it from someone and it came messed up so I was skeptical of buying an iPhone online. I read a bunch of reviews and finally did it. I am beyond glad because it came and looks brand new. Nothing is wrong with it. And I got to switch my bill for my little phone to this one for free with sprint. I love it.❤️
1738,Muy buen producto. El punto negativo es rendimiento de la batería
1739,"Phone came in like new condition!!!  Not a mark on it.  Battery life shows 100%.  This is the 3rd Amazon refurbished phone my family has used (other 2 still going strong) and they’ve all been perfect.If you’re thinking about getting a Amazon refurbished iPhone, do it!  You likely won’t be disappointed.  I have zero hesitation recommending people to buy one, and this will be the first place J look when we need another phone."
1740,Muy buen equipo y en buen estado sin embargo trajo un problema en el auricular no se escucha muy bien cuando recibes llamadas.
1741,Excellent buy
1742,It met my expectations. It’s the first day hence the 4 star. It probably will have been 5 stars
1743,The SIM Removable Tool was NOT included in the package.
1744,me grado el producto todo en perfecto estado excelente compra y los tiempos acordador
1745,"Great condition, everything works"
1746,This is my first ever review for Amazon and iPhone seller. I have been Amazon costumer last 10 years never written any reviews. I am tech guy. I know lot about the phone. This is my second day with this phone but I have to say this is the best refurbished phone I have purchased. Came out like brand new. Looks new and works like brand new. Big thumbs up to seller.
1747,"This phone was absolutely perfect. It looked just like a brand new phone. All we had to do was put the old SIM card into this one because it didn’t come with one, but that was fine. Once the old SIM card was put into this one everything from her old phone was in the new one. Would purchase again."
1748,Love the device. It does have a little single scratch and the earpiece got push but there’s no problem with the sound quality. The battery life is biggest problem for me but I guess that’s what you get from paying lower price from the brand new one. But the phone overall is working just fine.
1749,I really like this phone
1750,"Love this thing! I needed a definite upgrade from the 7 I’d once had. It arrived so fast, and looked brand freakin new! Gorgeous color. And the best part is it came with 95% battery life. No damage at all. If I didn’t know any better I’d think it was never used at all! Charges fast, crystal clear camera, love the facial recognition."
1751,Very happy with my iPhone. Same here. I was skeptical about buying refurbished but this particular seller sold me a very clean functioning iPhone. It’s been almost a year. And it’s still working fast and efficient. Give it a try guys. I was very happy with my purchase. Or go spend $500+ new at the Apple store
1752,"Perfect condition! I was warned there would be a small cosmetic scratch on the corner but I don’t see ANY marks! I’m very impressed! It came with a charger, charging box & a tool to get the sim holder out! You need to buy your own sim & attachment for your Aux but you gotta do that separately on most phones! 😊"
1753,Very disappointed in this seller! The vibrate button is broken and the whole phone rattles. This is straight out the box. Had to spend extra money to have it fixed today due to the return policy. It would take a week. I was buying for a birthday gift.For that amount of money everything should work!STAY AWAY FROM THIS SELLER!!!
1754,"The yellow color is so vivid and bright, which I love! I was scared it was going to be faded but it was all in vain. It came in great condition and still works a year later. Would buy again, if I could afford it ://"
1755,"Everything worked out great. Shipped on time and there is no visible damage on the phone. The only problem is that one of the speakers' sound quality isn't great. May have been damaged from the previous owner. However, I understand that this was refurbished, so that is okay. Thank you!"
1756,"So far so good. I just got the iPhone yesterday and nothing seems to be wrong so far. The battery capacity is at 97% which isn’t too bad since it’s refurbished. It came with the plastic wrapping, the box, block, and charger. I almost thought it was completely new when I first saw it. There are no scratches on the phone. I’ll edit the review if I find something wrong."
1757,Device had a lot more cosmetic issues than I would have expected. Clearly visible scratches and scuffs on the back and edges of the phone. I get that it's a reverb but I've gotten refurbished devices directly from one of the major carriers in the past that were visibly like new. I would think for the money the device would have fewer if any cosmetic issues. I've given the criteria 4 stars as function seems to be good though it's hard to give it a good workover as I've only had it for a few days. Battery needs to go through more charging cycles to determine how well it holds a charge.
1758,"Overall satisfied with this phone. Doesn’t have any problems functionality wise, and came with 100% battery health, so no complaints there, but it had a scratch in the top corner of the screen, and some scuffs on the body. I got it with the 20% discount, so these issues don’t worry me. Wish it would have come with the lightning-to-3.5mm dongle, but again not a big deal considering the savings I got"
1759,Good
1760,"I like how they were upfront and honest about possible scratches on the phone. My phone came in and it is in great condition. Battery life is good and works really well. One thing that did bug me was the scratches around the back camera, but they did warn me beforehand!"
1761,"I had no problems at all with the phone except that I had to buy a new SIM card for the phone, but everything else was great. No problems with face recognition, battery life was at 84%, and the screen quality is amazing. No cracks, no scratches."
1762,The phone is literally in perfect condition! Not a scratch on the phone or anything. Only reason I’m giving 4 stars is because it didn’t come with the SIM card removal tool. Other than that it’s perfect!
1763,This was a good purchase . But it do have glitches
1764,Speakers sound pretty bad
1765,"So far a good purchase. I purchased an IPhone XR from the seller Trademore. I received it 3 days after purchase! Much faster than was expected. It came nicely packaged and clean. It came with a charger and a SIM card tool to transfer. There were some scuffs around 2 corners of the phone where it was previously dropped. Luckily they are veryyy light. The battery health is at 97%! Also I purchased a 128GB and received a 256GB, so I am not complaining! Lol I’m enjoying the phone and it’s been a great experience so far! Thank you!"
1766,"NO SCAM!I had an iPhone 6s for years so i finally decided to switch. This phone is amazing. This seller is great, I got my phone fast, no damage to it and the battery came at 80%. Also comes with a screen protected and charger. Just wish it came with headphones. I would buy from this seller."
1767,My phone arrived on time in absolutely perfect condition. I checked all over and there's not a single scratch or dent on this thing. It also has a brand new battery. It didn’t come with a stock Apple charger or headphones but that doesn't bother me.
1768,Good Quality
1769,Happy with purchase .  But after 2-3 weeks of use am finding that people I talk to on the phone are complaining that they cannot hear me properly. Looks like the microphone is malfunctioning.
1770,I bought this phone as a replacement for my daughter. Well she finally needed it so I took it to get activated which is when I was told it was locked!! Now I’m out of hundreds of dollars and activation fees!! I could not locate a valid number to call for assistance!!’
1771,"Has been a great phone for my 13yr old, nice camera screen is in perfect shape that I can tell for a refurbished phone and the battery lasts all day with heavy use. So far we are really happy with the purchase."
1772,"Ordered the phone on a Friday night, it arrived Monday, a day earlier than projected.  No issues so far, daughter is very happy with her new phone!  I was concerned that others reviewers said their phone had been reported stolen and could not be activated, but ours was fully unlocked and we activated it without issue."
1773,As expected
1774,Looks new and is very clean. Comes with a screen protector
1775,All around good just change the shipping equipment
1776,"Great phone, you will not be disappointed, I wasn’t sure at first but I gave  it a try and I don’t regret it. I don’t see any scratches on the screen or the back.. overall I am very happy with the purchased"
1777,AMAZING PHONE!! JUST LIKE BRAND NEW. I GOT THIS FOR MY DAUGHTER AND IT WORKS PERFECTLY FINE WITH AN AMAZING BATTERY. TY!
1778,Me reading these reviews made me almost not want to try them out. But after a day of thinking I said what the heck you won’t know if you don’t try. The price was reasonable and the quality of the product was much more than what I was expecting.  I had no problem getting it turned on through metro pcs and all the features work perfectly fine as well. BuySPRY thank you and I will return for my kids too.
1779,"Bought this phone last week, works perfectlyNo scratches, and looks brand new. Battery health is at 92 which was expected but everything else is perfect."
1780,For a refurbished phone it is very good! There was a little dirt in the speaker at the top of the phone (it did not hinder my ability to listen) and the phone came in a android box. Other then that it is a very good phone and worth the price
1781,"Downloaded personal data, pictures, emails, and such from the cloud.  Went to the gadget store, where we took the broken phone that this one was replacing, to retrieve the SIM card.  Put in the SIM card and phone seemed to be working.  My son started texting his friends to let them know his replacement phone had arrived.  And in about five minutes of using the phone it suddenly started glitching out, random items scrolling, touch screen wouldn’t respond so couldn’t close anything out.  The phone called EMS and we couldn’t hang it up.  It even sent out an emergency SOS to contacts.  Ran it back to the gadget fix shop and he was able to get it shut down.  Removed the SIM card and returning the phone.  What a mess and what a disappointment."
1782,It would have been nice but there was one very faint scratch on the the screen other then that so far so good
